Variable,Meaning of Variable,Description
ListingKey,,"Unique key for each listing, same value as the 'key' used in the listing object in the API."
ListingNumber,,The number that uniquely identifies the listing to the public as displayed on the website.
ListingCreationDate,,The date the listing was created.
CreditGrade,,The Credit rating that was assigned at the time the listing went live. Applicable for listings pre-2009 period and will only be populated for those listings.
Term,,The length of the loan expressed in months.
LoanStatus,"Delinquency buckets show how many payments a loan is past due, each delinquency bucket represents a missed payment on an account.","The current status of the loan: Cancelled,  Chargedoff, Completed, Current, Defaulted, FinalPaymentInProgress, PastDue. The PastDue status will be accompanied by a delinquency bucket."
ClosedDate,,"Closed date is applicable for Cancelled, Completed, Chargedoff and Defaulted loan statuses. "
BorrowerAPR,APR = interest rate + loan fees expressed as a %,The Borrower's Annual Percentage Rate (APR) for the loan.
BorrowerRate,,The Borrower's interest rate for this loan. 
LenderYield,LY = interest rate - servicing fee,The Lender yield on the loan. Lender yield is equal to the interest rate on the loan less the servicing fee.
EstimatedEffectiveYield,A chargeoff is debt deemed unlikely to be collected by the creditor due to severe deliquency on part of borrower,"Effective yield is equal to the borrower interest rate (i) minus the servicing fee rate, (ii) minus estimated uncollected interest on charge-offs, (iii) plus estimated collected late fees.  Applicable for loans originated after July 2009."
EstimatedLoss,,Estimated loss is the estimated principal loss on charge-offs. Applicable for loans originated after July 2009.
EstimatedReturn,ER = EstEffYield - EstLossRate,The estimated return assigned to the listing at the time it was created. Estimated return is the difference between the Estimated Effective Yield and the Estimated Loss Rate. Applicable for loans originated after July 2009.
ProsperRating (numeric),Prosper Rating Estimated Avg. Annual Loss RateAA 0.00-1.99% A 2.00Ð3.99% B 4.00Ð5.99%  C 6.00Ð8.99% D 9.00Ð11.99% E 12.00Ð14.99% HR 15.00%,"The  Prosper Rating assigned at the time the listing was created: 0 - N/A, 1 - HR, 2 - E, 3 - D, 4 - C, 5 - B, 6 - A, 7 - AA.  Applicable for loans originated after July 2009. Prosper Ratings allow potential investors to easily consider a loan application's level of risk because the rating represents an estimated average annualized loss rate range to the investor."
ProsperRating (Alpha),Prosper Rating Estimated Avg. Annual Loss RateAA 0.00-1.99% A 2.00Ð3.99% B 4.00Ð5.99%  C 6.00Ð8.99% D 9.00Ð11.99% E 12.00Ð14.99% HR 15.00%,The Prosper Rating assigned at the time the listing was created between AA - HR.  Applicable for loans originated after July 2009.
ProsperScore,,"A custom risk score built using historical Prosper data. The score ranges from 1-10, with 10 being the best, or lowest risk score.  Applicable for loans originated after July 2009."
ListingCategory,What borrowers are using the money for,"The category of the listing that the borrower selected when posting their listing: 0 - Not Available, 1 - Debt Consolidation, 2 - Home Improvement, 3 - Business, 4 - Personal Loan, 5 - Student Use, 6 - Auto, 7- Other, 8 - Baby&Adoption, 9 - Boat, 10 - Cosmetic Procedure, 11 - Engagement Ring, 12 - Green Loans, 13 - Household Expenses, 14 - Large Purchases, 15 - Medical/Dental, 16 - Motorcycle, 17 - RV, 18 - Taxes, 19 - Vacation, 20 - Wedding Loans"
BorrowerState,,The two letter abbreviation of the state of the address of the borrower at the time the Listing was created.
Occupation,,The Occupation selected by the Borrower at the time they created the listing.
EmploymentStatus,,The employment status of the borrower at the time they posted the listing.
EmploymentStatusDuration,,The length in months of the employment status at the time the listing was created.
IsBorrowerHomeowner,,A Borrower will be classified as a homowner if they have a mortgage on their credit profile or provide documentation confirming they are a homeowner.
CurrentlyInGroup,Not important,Specifies whether or not the Borrower was in a group at the time the listing was created.
GroupKey,Not important,The Key of the group in which the Borrower is a member of. Value will be null if the borrower does not have a group affiliation.
DateCreditPulled,,The date the credit profile was pulled. 
CreditScoreRangeLower,,The lower value representing the range of the borrower's credit score as provided by a consumer credit rating agency.
CreditScoreRangeUpper,,The upper value representing the range of the borrower's credit score as provided by a consumer credit rating agency. 
FirstRecordedCreditLine,,The date the first credit line was opened.
